feature_id	coefficient	estimate	std_error	statistic	p_value	q_value	prevalence	mean_abundance	prevalence_tier	confidence
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo1259	groupcontrol	-0.056592	0.200050	-0.2829	7.78e-1	9.89e-1	0.1700	0.0224	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVa;s__;d__denovo1258	groupcontrol	-0.162178	0.211845	-0.7655	4.46e-1	9.89e-1	0.2100	0.0993	low	not_significant
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_incertae_sedis;s__;d__denovo8762	groupcontrol	-0.024561	0.095471	-0.2573	7.98e-1	9.89e-1	0.1100	-0.1827	low	not_significant
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__;d__denovo3617	groupcontrol	0.094869	0.160028	0.5928	5.55e-1	9.89e-1	0.1300	-0.1003	low	not_significant
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia/Shigella;s__;d__denovo2500	groupcontrol	0.153290	0.164876	0.9297	3.55e-1	9.89e-1	0.1900	-0.0512	low	not_significant
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo2502	groupcontrol	0.065531	0.181505	0.3610	7.19e-1	9.89e-1	0.1700	-0.0306	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella;s__;d__denovo2506	groupcontrol	-0.155547	0.155743	-0.9987	3.20e-1	9.89e-1	0.1900	-0.0142	low	not_significant
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella;s__;d__denovo2508	groupcontrol	-0.149168	0.158424	-0.9416	3.49e-1	9.89e-1	0.1500	-0.0521	low	not_significant
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister;s__;d__denovo6612	groupcontrol	0.016846	0.109261	0.1542	8.78e-1	9.92e-1	0.1200	-0.1556	low	not_significant
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__;d__denovo3615	groupcontrol	-0.079485	0.142927	-0.5561	5.79e-1	9.89e-1	0.1600	-0.0766	low	not_significant
